Accession,Description,X..Unique.Peptides,X126.127_N_norm_log2,X126.127_C_norm_log2,X126.128_N_norm_log2,X126.128_C_norm_log2,X126.129_N_norm_log2,X126.129_C_norm_log2,X126.130_N_norm_log2,X126.130_C_norm_log2,X126.131_norm_log2
Q96GM8,Target of EGR1 protein 1 OS=Homo sapiens GN=TOE1 PE=1 SV=1 - [TOE1_HUMAN],11,-0.024557104,0.245689645,0.051479219,0.060435854,0.206450877,0.137503524,0.080768946,-0.030615367,0.114370046
P51571,Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1 - [SSRD_HUMAN],6,0.177345942,0.218957746,0.146606563,0.249145149,0.369045382,0.273451022,0.057009479,0.271842863,0.113161252
Q13045,Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2 - [FLII_HUMAN],10,0.255914994,0.193337627,0.141336438,0.143103512,0.131117552,0.128924539,0.109286758,0.201139872,0.113161252
P60228,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens GN=EIF3E PE=1 SV=1 - [EIF3E_HUMAN],3,-0.259386629,0.165608321,0.180400965,0,0.028912692,-0.018941564,-0.039297625,-0.101971973,0.113161252
P36776,"Lon protease homolog, mitochondrial OS=Homo sapiens GN=LONP1 PE=1 SV=2 - [LONM_HUMAN]",8,-0.300028613,-0.162095512,-0.023482839,-0.083370087,-0.081088492,-0.158989524,-0.109260183,-0.30218416,0.113161252
Q9Y2S6,Translation machinery-associated protein 7 OS=Homo sapiens GN=TMA7 PE=1 SV=1 - [TMA7_HUMAN],30,1.031609607,0.710493383,0.921471688,0.915607813,0.563385422,0.681986955,0.625912129,0.470746932,0.111951445
P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3 - [DHB4_HUMAN],2,0.281181753,0.268872175,0.118721115,0.207993042,0.178337241,0.233994733,0.257948791,0.214255372,0.111951445
P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2 - [NMT1_HUMAN],9,0.375699351,0.117039421,-0.100992206,0.038068041,0.037474705,0.097024454,-0.056472769,0.197842282,0.111951445
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3 - [LPPRC_HUMAN]",3,-0.263034406,-0.229800371,-0.035369168,-0.021373651,0.154920577,0.043253198,0.02198435,0.17118665,0.111951445
Q15003,Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3 - [CND2_HUMAN],4,0.102778597,0.120442005,0.126743537,-0.097745815,0.144389909,-0.138130919,0.054345222,0.007553394,0.110740622
P50914,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4 - [RL14_HUMAN],5,0.444412101,0.309684499,0.557033757,0.197939378,0.332403539,0.400062655,0.356403389,0.542696774,0.109528783
P36542,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1 - [ATPG_HUMAN]",6,-0.043253198,-0.083657929,0.04161219,0.034306122,-0.029503994,-0.145050333,-0.06513763,-0.220500362,0.109528783
O60488,Long-chain-fatty-acid--CoA ligase 4 OS=Homo sapiens GN=ACSL4 PE=1 SV=2 - [ACSL4_HUMAN],2,0.727805595,-0.081701732,-0.224820793,-0.112266232,0.541480729,0.456006144,-0.068037521,0.647939934,0.108315924
P60981,Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3 - [DEST_HUMAN],2,0.102778597,0.199785437,0.273670946,0.139606067,0.211504105,0.314381286,0.236955283,0.233707735,0.108315924
Q15050,Ribosome biogenesis regulatory protein homolog OS=Homo sapiens GN=RRS1 PE=1 SV=2 - [RRS1_HUMAN],5,0.15017574,0.014702752,-0.088555103,0.034306122,0.234027122,0.265645619,0.085996108,0.048404632,0.108315924
Q99613,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1 - [EIF3C_HUMAN],10,-0.181384117,0.059706246,0.090286036,0.086100737,0.023176322,0.009378332,0.03285216,-0.081794091,0.108315924
P62191,26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1 - [PRS4_HUMAN],2,-0.513703818,0.168898391,0.191916996,0.069654384,-0.251399705,-0.290901199,0.0463228,-0.475615105,0.108315924
P61006,Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1 - [RAB8A_HUMAN],2,0.099941438,0.342105977,0.16879227,0.346407071,0.398146502,0.255172288,0.144785439,0.336245896,0.107102045
P62263,40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3 - [RS14_HUMAN],7,0.021149835,-0.0431247,-0.020526495,-0.011619083,0,0.070389328,0.062323279,0.044738315,0.107102045
P54886,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2 - [P5CS_HUMAN],8,0.337668944,0.050817154,-0.0777599,0.065974037,0.196291011,0.329435632,0.198862112,0.102309845,0.105887144
P61224,Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1 - [RAP1B_HUMAN],19,-0.110666119,-0.016721701,-0.007297411,0.007694392,0.002917483,-0.022122811,0.027428489,-0.126563961,0.105887144
P11216,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5 - [PYGB_HUMAN]",2,0.619051391,-0.335383139,-0.038356115,-0.200380727,0.371304889,0.168530419,0.03285216,0.484344535,0.104671219
P09960,Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2 - [LKHA4_HUMAN],4,-0.143909411,-0.009265896,-0.108820196,-0.069136193,-0.081088492,-0.256775415,-0.112250226,-0.042265727,0.104671219
Q9UL46,Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4 - [PSME2_HUMAN],3,0.021149835,-0.54040046,-0.40007215,-0.28245186,0.054447784,0.276043466,0.051676035,0.360043467,0.10223629
P11766,Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4 - [ADHX_HUMAN],11,0.139162748,-0.048845904,-0.206226926,-0.011619083,0.224060277,0.114511881,0.106717398,0.070209002,0.10223629
P51532,Transcription activator BRG1 OS=Homo sapiens GN=SMARCA4 PE=1 SV=2 - [SMCA4_HUMAN],18,-0.171066826,0.256554533,0.239551567,0.179323699,0.002917483,-0.044590151,0.122065363,-0.019058336,0.10223629
Q14247,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2 - [SRC8_HUMAN],19,-0.248498313,-0.03174991,0.075164749,-0.049042623,-0.186815999,-0.249300295,-0.079695726,-0.238256833,0.10223629
O95782,AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3 - [AP2A1_HUMAN],3,0.177345942,-0.160030093,0.190641967,0.067815384,0.16797673,0.190683562,0.169617292,0.49513109,0.101017283
O43237,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1 - [DC1L2_HUMAN],3,0.415037499,0.239444202,0.031677212,0.434672822,0.131117552,0.190683562,0.064972857,0.371796649,0.101017283
Q16531,DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1 - [DDB1_HUMAN],3,0.323145046,0.460942206,0.227167843,0.358492545,0.261086134,0.414253213,0.246323466,0.360043467,0.101017283
Q8NI27,THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2 - [THOC2_HUMAN],4,0.481944158,-0.117325642,0.257930097,0.04369259,0.477897523,0.263034406,0.169617292,0.534877269,0.099797245
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3 - [HCD2_HUMAN],8,-0.181384117,0.142365321,-0.026445252,-0.035141806,0.141745188,0.157324965,0.09380151,0.01880985,0.099797245
P16949,Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3 - [STMN1_HUMAN],3,0.340075442,0.251908168,0.248157358,0.005774638,0.165374934,0.171318237,0.002766434,0.302869759,0.098576174
Q7Z417,Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1 - [NUFP2_HUMAN],4,0.065453061,-0.046936314,-0.124604763,0.054876329,0.246389623,0.193428938,0.116967495,0.05934801,0.098576174
Q9NZ01,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1 - [TECR_HUMAN],24,0.053771256,-0.026095971,-0.014631921,-0.031194622,0.144389909,0.15168943,0.059668826,0.041062657,0.098576174
Q9H307,Pinin OS=Homo sapiens GN=PNN PE=1 SV=4 - [PININ_HUMAN],3,0.196065139,0.380925226,0.500529387,0.325010778,0.11502785,0.111611991,0.285473219,0.249720053,0.097354069
Q07157,Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3 - [ZO1_HUMAN],2,0.147430364,0.10506678,0.001455063,0.022961148,-0.005852726,0.187932951,0.134731774,0.240134004,0.097354069
Q9H6Z4,Ran-binding protein 3 OS=Homo sapiens GN=RANBP3 PE=1 SV=1 - [RANB3_HUMAN],17,0.136396313,0.020177882,-0.017576198,0.054876329,0.040317455,0.114511881,0.085996108,0.214255372,0.097354069
P46777,60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3 - [RL5_HUMAN],3,-0.181384117,0.077321789,0.038780599,-0.043068722,0.162768439,0.052355405,0.054345222,-0.260764232,0.097354069
O76094,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3 - [SRP72_HUMAN],15,-0.300028613,0.054379366,0.179115713,-0.141752997,-0.118644496,-0.141586477,-0.100327059,-0.283628341,0.097354069
P09497,Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1 - [CLCB_HUMAN],4,0.313380575,-0.151797859,-0.367778746,-0.041082906,0.236508111,0.24197279,0.157254791,0.315096061,0.096130927
P17096,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3 - [HMGA1_HUMAN],5,0.209288834,0.018355146,-0.132562285,0.104157231,0.411382329,0.319416876,0.181874758,0.296717532,0.096130927
Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3 - [TLN1_HUMAN],2,0.147430364,0.084308219,-0.029413762,0.18781516,0.054447784,0.278631261,0.255631208,0.181240315,0.096130927
P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3 - [IF2G_HUMAN],3,0.079923544,-0.18921856,-0.289183143,-0.041082906,0.27321989,0.171318237,0.027428489,0,0.096130927
P02545,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1 - [LMNA_HUMAN],3,0.261003871,0.15735017,0.494341979,0.23118267,0.183489729,0.157324965,0.269481187,0.2529013,0.094906748
Q13148,TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1 - [TADBP_HUMAN],9,0.024146087,-0.14974712,-0.301689556,0.073325366,0.125774231,0.134649527,0.0463228,0.09168873,0.094906748
P53992,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3 - [SC24C_HUMAN],2,-0.78545544,0.094724835,0.134721594,-0.116441908,-0.653746483,-0.550869302,-0.250352503,-0.759865996,0.094906748
P61088,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1 - [UBE2N_HUMAN],3,0.481944158,0.350823194,0.193190899,0.137854161,0.332403539,0.326937458,0.196447559,0.330234658,0.093681529
Q14320,Protein FAM50A OS=Homo sapiens GN=FAM50A PE=1 SV=2 - [FA50A_HUMAN],13,0.009102207,0.06501353,-0.083918692,0.005774638,0.152295107,0.079322453,0.016519589,0,0.093681529
Q15424,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4 - [SAFB1_HUMAN],3,-0.209263149,0.288666718,0.338429452,0.217977131,-0.047500424,-0.120976198,0.013779427,-0.085807154,0.092455269
Q9P2B4,CTTNBP2 N-terminal-like protein OS=Homo sapiens GN=CTTNBP2NL PE=1 SV=2 - [CT2NL_HUMAN],5,-0.164229396,0.264265374,0.283272945,0.039945328,-0.056583528,0.171318237,0.024708987,-0.003791579,0.091227966
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4 - [PRDX5_HUMAN]",14,-0.046392905,0.003689759,-0.169743038,-0.023332504,-0.014676577,-0.038135129,0.0490019,-0.011404763,0.091227966
P25789,Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1 - [PSA4_HUMAN],4,-0.071759626,0.025632312,0.102541188,0.062284278,0.017417053,-0.04135903,-0.124272754,-0.081794091,0.091227966
P61163,Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1 - [ACTZ_HUMAN],2,0.356809457,0.073815846,-0.36028421,-0.017463906,0.382549647,0.458290697,0.194028958,0.4431611,0.089999618
Q01970,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens GN=PLCB3 PE=1 SV=2 - [PLCB3_HUMAN]",2,2.154284035,-0.075849006,-0.553997555,0.40730185,2.627172015,1.834869473,0.966382284,2.829897491,0.088770222
P0C0S5,Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2 - [H2AZ_HUMAN],4,0.182719114,0.020177882,-0.199524498,0.047430144,0.191184121,0.28636691,0.194028958,0.321170576,0.088770222
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2 - [SDHA_HUMAN]",9,-0.130520034,-0.056509641,-0.036861868,-0.057046499,0.014528774,-0.097297201,-0.013912307,-0.172767751,0.088770222
O00567,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4 - [NOP56_HUMAN],14,0.263541593,0.007370106,0.001455063,0.045562577,0.152295107,0.190683562,0.167153252,0.233707735,0.087539779
Q8TDN6,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2 - [BRX1_HUMAN],12,0.198719592,-0.166235242,-0.231642058,-0.07928891,0.045986205,0.143194636,0.057009479,0.080988841,0.086308285
P26038,Moesin OS=Homo sapiens GN=MSN PE=1 SV=3 - [MOES_HUMAN],7,-0.062194762,-0.056509641,0.121400216,0.109530403,-0.115477217,-0.074000581,0.106717398,0.055709433,0.086308285
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3 - [G3P_HUMAN],35,-0.012226302,-0.018591688,0.066849481,-0.007735649,0,0.00625899,0.030142873,-0.022900402,0.086308285
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Homo sapiens GN=HIBADH PE=1 SV=2 - [3HIDH_HUMAN]",4,0.015138597,-0.09150935,-0.091654341,-0.007735649,-0.081088492,-0.173064709,-0.06513763,-0.069821449,0.086308285
Q15181,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2 - [IPYR_HUMAN],3,-0.171066826,-0.071960338,-0.301689556,-0.133266531,-0.035477895,-0.060855205,-0.011119092,-0.160019258,0.086308285
Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens GN=PSMD6 PE=1 SV=1 - [PSMD6_HUMAN],7,0.079923544,-0.178726186,-0.135757624,0.053018382,0.261086134,0.212501672,0.09898175,0.070209002,0.085075739
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Homo sapiens GN=LETM1 PE=1 SV=1 - [LETM1_HUMAN]",2,0.177345942,0.092993947,-0.17960204,-0.110182918,0.120411046,0.088200604,0.059668826,0.08813091,0.083842139
P50395,Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2 - [GDIB_HUMAN],2,0.074152756,-0.271556836,-0.25403658,0.080639425,0.243925583,0.204358499,0.162212511,0.070209002,0.083842139
Q08257,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1 - [QOR_HUMAN],2,-0.150650989,0.293196376,0.351039501,0.139606067,-0.041476636,0.046293652,0.236955283,-0.065852547,0.083842139
P22087,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2 - [FBRL_HUMAN],8,-0.068564286,0.021998318,0.010154758,0.078814383,0.090551758,0.015596855,0.043638716,-0.085807154,0.083842139
P61158,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3 - [ARP3_HUMAN],7,-0.292553493,0.087788788,0.182968039,0.007694392,-0.093498848,-0.131244533,0.008283439,-0.325719674,0.083842139
P29692,Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5 - [EF1D_HUMAN],2,0.488467281,0.139014111,0.005811468,0.239375168,0.757265156,0.212501672,0.303535365,0.626025157,0.082607483
Q08722,Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47 PE=1 SV=1 - [CD47_HUMAN],4,0.122484007,-0.284998192,-0.403919339,-0.07928891,0.180915785,0.204358499,0.11185155,0.123320339,0.082607483
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2 - [ROA2_HUMAN],10,-0.140550399,-0.083657929,-0.029413762,-0.011619083,-0.053549468,-0.131244533,-0.013912307,0.03737761,0.082607483
P02511,Alpha-crystallin B chain OS=Homo sapiens GN=CRYAB PE=1 SV=2 - [CRYAB_HUMAN],24,-0.087843349,-0.066146918,-0.083918692,-0.027258207,-0.008788017,-0.057587492,-0.059355278,-0.106041637,0.082607483
P62805,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2 - [H4_HUMAN],5,0.433184846,0.137335583,-0.023482839,0.105950513,0.4266722,0.456006144,0.365029394,0.534877269,0.08137177
P30101,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4 - [PDIA3_HUMAN],9,0.105610188,-0.247234964,-0.146997375,-0.095683348,0.136441156,0.201633861,0.01103405,0.130256386,0.08137177
Q8N8S7,Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2 - [ENAH_HUMAN],6,0.039034713,-0.068082123,0.008708447,-0.059054426,-0.14423621,0.070389328,0.024708987,0.066597749,0.08137177
Q5JTV8,Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=2 - [TOIP1_HUMAN],4,-0.147276262,0.031066198,0.099826804,0.073325366,-0.290155749,-0.26052755,-0.189089207,-0.292876417,0.08137177
Q02878,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3 - [RL6_HUMAN],12,-0.033874866,0.047246125,0.101184634,0.007694392,0.090551758,0.00625899,0.019254557,0.130256386,0.080134998
P46821,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2 - [MAP1B_HUMAN],18,0.039034713,-0.208299302,-0.097872864,-0.067114196,0.057257318,0.027954062,0.024708987,0.080988841,0.080134998
P08133,Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3 - [ANXA6_HUMAN],14,-0.003046876,0.215780002,0.037362717,0.08246216,0.079538765,0.064403033,-0.039297625,-0.015226474,0.080134998
Q14974,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2 - [IMB1_HUMAN],3,0,0.012873081,-0.096315719,0.13258564,0.087806381,0.162938571,0.179431582,-0.034488376,0.080134998
Q15907,Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4 - [RB11B_HUMAN],3,-0.040120308,0.011041087,-0.100992206,-0.198166306,-0.137795597,-0.107397791,-0.0973616,-0.126563961,0.080134998
O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2 - [FLNB_HUMAN],3,0.382719779,0.139014111,0.013043037,0.129062573,0.243925583,0.314381286,0.198862112,0.392137097,0.078897164
P07954,"Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3 - [FUMH_HUMAN]",22,0.224998917,0.007370106,0.194463678,0.003852325,0.219050914,0.185177085,-0.068037521,0.259242827,0.078897164
O43399,Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2 - [TPD54_HUMAN],8,-0.055853235,0.094724835,-0.038356115,-0.023332504,-0.112316877,0.021788689,-0.044999985,-0.022900402,0.078897164
O95747,Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1 - [OXSR1_HUMAN],2,0.169248474,0.421488398,0.086177742,0.273284503,0.076772331,0.094089163,0.083384894,0.278101854,0.077658267
Q8WUY1,Protein THEM6 OS=Homo sapiens GN=THEM6 PE=1 SV=2 - [THEM6_HUMAN],11,0.056700587,-0.024216237,0.043025904,-0.055041364,0.123095131,0.070389328,-0.01671094,0.14059833,0.077658267
P55145,Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3 - [MANF_HUMAN],4,-0.009159999,-0.319159891,-0.017576198,0.309531069,-0.196823172,-0.11417102,0.051676035,-0.251719093,0.077658267
P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN],2,-0.466678483,0.089525929,0.315215837,0.032421478,-0.382313193,-0.325853798,-0.2049606,-0.279026439,0.077658267
P20618,Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2 - [PSB1_HUMAN],14,0.044947406,0.06501353,0.113347943,-0.083370087,0.131117552,0.067399285,0.091204399,0.137159246,0.076418306
Q9UGP8,Translocation protein SEC63 homolog OS=Homo sapiens GN=SEC63 PE=1 SV=2 - [SEC63_HUMAN],7,-0.059020514,0.056157179,-0.005834973,0.011526253,0.034626343,-0.015767316,0.051676035,-0.134855335,0.076418306
P19105,Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2 - [ML12A_HUMAN],2,-0.337996464,0.261185981,-0.048859401,-0.220464973,-0.234121714,-0.36975662,-0.230723696,-0.344828497,0.076418306
P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2 - [K22E_HUMAN]",5,-0.449951396,0.212595244,0.215930871,0.071491042,-0.084181087,-0.110780431,-0.091448907,-0.388771845,0.076418306
Q8NDV7,Trinucleotide repeat-containing gene 6A protein OS=Homo sapiens GN=TNRC6A PE=1 SV=2 - [TNR6A_HUMAN],3,-0.487863813,0.350823194,0.289241903,0.157009114,-0.131383608,-0.198031624,-0.082625057,-0.512951256,0.076418306
P05387,60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1 - [RLA2_HUMAN],14,-0.230531766,0.054379366,0.084805707,-0.019417454,-0.099744291,-0.064130337,-0.011119092,-0.207324973,0.075177278
Q08170,Serine/arginine-rich splicing factor 4 OS=Homo sapiens GN=SRSF4 PE=1 SV=2 - [SRSF4_HUMAN],3,-0.458290697,0.080819233,0.065458932,-0.037119456,-0.176877762,-0.205245115,-0.091448907,-0.30218416,0.075177278
Q9NWB6,Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1 - [ARGL1_HUMAN],6,-0.10084069,0.113628793,-0.050366133,-0.049042623,0.06006139,0.003132889,0.008283439,0.022542569,0.073935181
Q8TAD7,Overexpressed in colon carcinoma 1 protein OS=Homo sapiens GN=OCC1 PE=1 SV=2 - [OCC1_HUMAN],4,0.428669365,-0.075849006,-0.024963285,0.058585058,0.463143756,0.341862022,0.137251766,0.429167828,0.072692014
Q9Y3P9,Rab GTPase-activating protein 1 OS=Homo sapiens GN=RABGAP1 PE=1 SV=3 - [RBGP1_HUMAN],7,-0.062194762,-0.011126238,0.084805707,0.073325366,-0.002923395,-0.11417102,0.008283439,0.015067448,0.071447775
P30086,Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3 - [PEBP1_HUMAN],19,-0.16764406,0.054379366,0.098467694,-0.031194622,-0.13458604,-0.110780431,-0.062243557,-0.143194636,0.071447775
Q5SSJ5,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1 - [HP1B3_HUMAN],3,-0.392888222,-0.037426095,0.230894134,-0.099811234,-0.200174382,-0.180154134,-0.227478036,-0.403722186,0.071447775
P55263,Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2 - [ADK_HUMAN],3,-0.274033405,-0.210435046,-0.097872864,-0.131152692,-0.200174382,-0.131244533,-0.112250226,-0.151582421,0.070202462
P63010,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 - [AP2B1_HUMAN],20,0.006074514,0.079071571,0.215930871,0.091541454,0.101481318,0.064403033,0.09380151,0.116350784,0.068956074
P61020,Ras-related protein Rab-5B OS=Homo sapiens GN=RAB5B PE=1 SV=1 - [RAB5B_HUMAN],10,0.180035029,0.293196376,0.162302403,0.2410081,0.280451459,0.231325546,0.287743393,0.32721962,0.067708607
Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 - [TMED9_HUMAN],4,0.21191909,0.268872175,-0.129374007,0.151810207,0.101481318,0.160134498,0.22752587,0.256075548,0.066460061
Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2 - [ABCF1_HUMAN],5,0.139162748,-0.166235242,-0.104118307,-0.023332504,0.208979704,0.009378332,0.067617579,0.243336436,0.066460061
Q9Y3B8,"Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3 - [ORN_HUMAN]",7,0.363922184,0.196565134,0.050073768,0.292309328,0.398146502,0.366398244,0.169617292,0.240134004,0.066460061
P16070,CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3 - [CD44_HUMAN],4,-0.107383535,-0.033639491,0.093018414,0.157009114,0.051632768,-0.077305726,0.016519589,-0.274439169,0.066460061
Q14116,Interleukin-18 OS=Homo sapiens GN=IL18 PE=1 SV=1 - [IL18_HUMAN],3,-0.270357747,0.103348262,-0.113537459,0.095157233,-0.290155749,-0.190854022,-0.070943252,-0.279026439,0.066460061
P48637,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1 - [GSHB_HUMAN],6,0.286182434,-0.231968208,-0.233352426,0.019159578,0.214024097,0.344334508,0.229889008,0.448720626,0.065210433
P68036,Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1 - [UB2L3_HUMAN],2,0.623009405,0.576935501,1.166848374,0.63301463,0.36224555,0.444528796,0.554176375,0.588744141,0.063959722
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",12,-0.071759626,-0.014854134,0.091652872,-0.009676059,0.023176322,-0.107397791,0.005527574,-0.093866923,0.063959722
Q9H4M9,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2 - [EHD1_HUMAN],3,0.313380575,-0.178726186,0.066849481,-0.015512999,0.348548975,0.168530419,0.106717398,0.026265655,0.062707926
P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens GN=UQCRH PE=1 SV=2 - [QCR6_HUMAN]",6,-0.087843349,-0.111326901,0.015925546,-0.087462841,0.031772346,0.021788689,0.005527574,0.003781641,0.062707926
Q14315,Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3 - [FLNC_HUMAN],9,0.053771256,0.084308219,0.173963226,0.125530882,0.157541277,0.031026896,-0.005548834,0.003781641,0.062707926
