Accession,Description,A6..114.115_norm_log2,A6..114.116_norm_log2,A6..114.117_norm_log2,B6..114.115_norm_log2,B6..114.116_norm_log2,B6..114.117_norm_log2,Sum...Unique.Peptides.
P39069,Adenylate kinase isoenzyme 1 OS=Rattus norvegicus GN=Ak1 PE=1 SV=3 - [KAD1_RAT],-0.106534546,-0.100566538,0.001183993,0.032967407,0.115548952,0.169115181,3
P24050,40S ribosomal protein S5 OS=Rattus norvegicus GN=Rps5 PE=1 SV=3 - [RS5_RAT],-0.069708972,-0.272297327,0.024662054,0.090694116,-0.319133076,0.169115181,3
P27008,Poly [ADP-ribose] polymerase 1 OS=Rattus norvegicus GN=Parp1 PE=1 SV=4 - [PARP1_RAT],NA,NA,NA,0.201684733,0.247092862,0.167494175,5
Q9Z1H9,Protein kinase C delta-binding protein OS=Rattus norvegicus GN=Prkcdbp PE=1 SV=1 - [PRDBP_RAT],-0.006199816,0.032335982,0.144164277,0.062959794,0.138605238,0.165871346,3
P01026,Complement C3 OS=Rattus norvegicus GN=C3 PE=1 SV=3 - [CO3_RAT],0.122124281,0.028569152,0.248550789,0.282308722,0.692454898,0.164246689,6
Q03555-3,Isoform 2 of Gephyrin OS=Rattus norvegicus GN=Gphn - [GEPH_RAT],0.290406193,0.506568092,0.615434853,0.253643355,0.599499373,0.164246689,13
P63029,Translationally-controlled tumor protein OS=Rattus norvegicus GN=Tpt1 PE=1 SV=1 - [TCTP_RAT],-0.068411,0.494330267,0.096215315,-0.054245286,0.167124557,0.164246689,6
P63331,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Rattus norvegicus GN=Ppp2ca PE=1 SV=1 - [PP2AA_RAT],-0.132069638,0.184809239,0.244557167,-0.102421943,0.160464672,0.164246689,2
O35567,Bifunctional purine biosynthesis protein PURH OS=Rattus norvegicus GN=Atic PE=1 SV=2 - [PUR9_RAT],0.187687358,0.529404524,0.284976959,0.100549377,0.089491139,0.164246689,4
Q8CG45,Aflatoxin B1 aldehyde reductase member 2 OS=Rattus norvegicus GN=Akr7a2 PE=1 SV=2 - [ARK72_RAT],0.06057544,0.093109404,0.277178588,0.089045008,-0.205088525,0.163433674,11
P85971,6-phosphogluconolactonase OS=Rattus norvegicus GN=Pgls PE=1 SV=1 - [6PGL_RAT],-0.001237834,0.23388806,0.25650502,0.21686581,0.017611016,0.162620201,2
P19939,Apolipoprotein C-I OS=Rattus norvegicus GN=Apoc1 PE=3 SV=1 - [APOC1_RAT],0.110710495,0.288457003,0.102848408,0.325900854,0.103447185,0.161806268,9
B2GUV7,Eukaryotic translation initiation factor 5B OS=Rattus norvegicus GN=Eif5b PE=1 SV=1 - [IF2P_RAT],0.135702687,0.280560458,0.330902164,0.106539061,0.285091327,0.160991877,2
P17074,40S ribosomal protein S19 OS=Rattus norvegicus GN=Rps19 PE=2 SV=3 - [RS19_RAT],-0.043968859,0.071305034,0.043173231,-0.20321432,0.122418942,0.160991877,2
Q3KR86,MICOS complex subunit Mic60 (Fragment) OS=Rattus norvegicus GN=Immt PE=1 SV=1 - [MIC60_RAT],0.220977668,0.23388806,0.206055997,0.184798945,0.160464672,0.158545939,8
F1LQ48,Heterogeneous nuclear ribonucleoprotein L OS=Rattus norvegicus GN=Hnrnpl PE=1 SV=2 - [HNRPL_RAT],-0.122609308,-0.12973393,-0.026296744,0.039243725,-0.066803371,0.155278225,4
A0JPQ4,Tripartite motif-containing protein 72 OS=Rattus norvegicus GN=Trim72 PE=1 SV=1 - [TRI72_RAT],-0.105203032,-0.038006323,0.04776415,-0.464633165,0.644937573,0.154460139,4
P63086,Mitogen-activated protein kinase 1 OS=Rattus norvegicus GN=Mapk1 PE=1 SV=3 - [MK01_RAT],0.046267604,0.538703696,0.341223929,-0.359564464,0.360392426,0.154460139,7
P62859,40S ribosomal protein S28 OS=Rattus norvegicus GN=Rps28 PE=1 SV=1 - [RS28_RAT],0.162482018,0.371094152,0.357031896,-0.003514484,0.281259465,0.153641589,7
P41350,Caveolin-1 OS=Rattus norvegicus GN=Cav1 PE=1 SV=3 - [CAV1_RAT],0.092258508,0.160920188,0.201942823,0.011653497,0.091243046,0.152822574,5
P68255,14-3-3 protein theta OS=Rattus norvegicus GN=Ywhaq PE=1 SV=1 - [1433T_RAT],0.32538839,0.64953882,0.290798197,0.206255853,0.322114598,0.150362735,7
P50463,Cysteine and glycine-rich protein 3 OS=Rattus norvegicus GN=Csrp3 PE=1 SV=1 - [CSRP3_RAT],-0.128007612,-0.224317298,0.019996909,0.170834768,-0.314486711,0.150362735,3
P31211,Corticosteroid-binding globulin OS=Rattus norvegicus GN=Serpina6 PE=1 SV=2 - [CBG_RAT],-0.102543685,0.239601711,0.350543696,0.098911502,-0.123582267,0.148720509,3
P20761,Ig gamma-2B chain C region OS=Rattus norvegicus GN=Igh-1a PE=1 SV=1 - [IGG2B_RAT],0.156943835,0.249344202,0.024662054,-0.144482286,0.302587975,0.14543044,3
P21670,Proteasome subunit alpha type-4 OS=Rattus norvegicus GN=Psma4 PE=1 SV=1 - [PSA4_RAT],0.515686316,-0.150934826,0.082856932,0.244289558,-0.575666753,0.142132849,2
Q6P747,Heterochromatin protein 1-binding protein 3 OS=Rattus norvegicus GN=Hp1bp3 PE=1 SV=1 - [HP1B3_RAT],-0.158064846,-0.127630875,-0.080373416,0.280864824,-0.271076935,0.141307273,9
P31044,Phosphatidylethanolamine-binding protein 1 OS=Rattus norvegicus GN=Pebp1 PE=1 SV=3 - [PEBP1_RAT],0.140200571,0.160920188,0.103950964,0.366853966,0.334740581,0.139654701,5
Q05982,Nucleoside diphosphate kinase A OS=Rattus norvegicus GN=Nme1 PE=1 SV=1 - [NDKA_RAT],-0.088004263,-0.069956584,-0.049399813,-0.004687884,0.124986777,0.137172289,5
Q66HD0,Endoplasmin OS=Rattus norvegicus GN=Hsp90b1 PE=1 SV=2 - [ENPL_RAT],-0.119917712,-0.185517936,-0.139162748,0.581448017,-0.266582554,0.137172289,4
P07153,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Rattus norvegicus GN=Rpn1 PE=2 SV=1 - [RPN1_RAT],-0.278959452,-0.035046947,0.056902391,-0.246977145,0.710804208,0.136343868,3
P49242,40S ribosomal protein S3a OS=Rattus norvegicus GN=Rps3a PE=1 SV=2 - [RS3A_RAT],0.088772332,0.154885602,0.101745008,0.235868654,0.181175551,0.135514971,33
P18422,Proteasome subunit alpha type-3 OS=Rattus norvegicus GN=Psma3 PE=1 SV=3 - [PSA3_RAT],-0.033800041,-0.354759487,0.0489096,-0.098032083,-0.208317236,0.134685597,2
P81155,Voltage-dependent anion-selective channel protein 2 OS=Rattus norvegicus GN=Vdac2 PE=1 SV=2 - [VDAC2_RAT],-0.013674937,-0.119249181,-0.07287888,-0.081223795,-0.090438494,0.133025419,6
Q9R1Z0,Voltage-dependent anion-selective channel protein 3 OS=Rattus norvegicus GN=Vdac3 PE=1 SV=2 - [VDAC3_RAT],0.144684475,-0.492755063,0.008267616,0.064638973,-0.387023123,0.133025419,6
P70618,Mitogen-activated protein kinase 14 OS=Rattus norvegicus GN=Mapk14 PE=1 SV=3 - [MK14_RAT],-0.188761643,-0.027184829,0.009444846,0.023213615,0.188559278,0.132194612,3
P10536,Ras-related protein Rab-1B OS=Rattus norvegicus GN=Rab1b PE=1 SV=1 - [RAB1B_RAT],0.180062678,-0.013528385,0.108352783,0.195056329,-0.046435573,0.129699319,6
P14480,Fibrinogen beta chain OS=Rattus norvegicus GN=Fgb PE=1 SV=4 - [FIBB_RAT],-0.119917712,-0.210896782,-0.07912162,-0.160740009,0.210486391,0.128866595,4
P58775,Tropomyosin beta chain OS=Rattus norvegicus GN=Tpm2 PE=1 SV=1 - [TPM2_RAT],0.081774606,0.172914159,0.198850227,0.147256514,0.092992828,0.127199702,23
Q9WU49,Calcium-regulated heat stable protein 1 OS=Rattus norvegicus GN=Carhsp1 PE=1 SV=1 - [CHSP1_RAT],0.042668363,0.270229907,0.200912694,0.023213615,-0.098403704,0.127199702,9
P08413,Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Rattus norvegicus GN=Camk2b PE=1 SV=1 - [KCC2B_RAT],0.254554631,0.578536232,0.409697475,0.358664568,0.52108648,0.126365534,2
Q4V8C3-2,Isoform 2 of Echinoderm microtubule-associated protein-like 1 OS=Rattus norvegicus GN=Eml1 - [EMAL1_RAT],0.150269829,0.280560458,0.781058178,-0.034936658,0.503432615,0.126365534,4
Q32PX7,Far upstream element-binding protein 1 OS=Rattus norvegicus GN=Fubp1 PE=1 SV=1 - [FUBP1_RAT],NA,NA,NA,-0.094904627,0.179529578,0.126365534,2
P06685,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus GN=Atp1a1 PE=1 SV=1 - [AT1A1_RAT],-0.327817287,-0.387097109,-0.075372735,-0.098658389,0.078051594,0.125530882,6
Q794E4,Heterogeneous nuclear ribonucleoprotein F OS=Rattus norvegicus GN=Hnrnpf PE=1 SV=3 - [HNRPF_RAT],-0.043968859,-0.142417045,-0.182864057,-0.160740009,0.377004367,0.124695747,6
P04797,Glyceraldehyde-3-phosphate dehydrogenase OS=Rattus norvegicus GN=Gapdh PE=1 SV=3 - [G3P_RAT],0.062946345,0.176322773,-0.094215342,0.096724771,0.174580362,0.124695747,7
P04897,Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Rattus norvegicus GN=Gnai2 PE=1 SV=3 - [GNAI2_RAT],-0.013674937,0.092207438,0.114930431,0.047758574,-0.04354922,0.124695747,12
Q63041,Alpha-1-macroglobulin OS=Rattus norvegicus GN=A1m PE=1 SV=1 - [A1M_RAT],-0.117231129,0.188189896,0.051197777,0.296668778,0.164630702,0.123860129,6
B0BNA7,Eukaryotic translation initiation factor 3 subunit I OS=Rattus norvegicus GN=Eif3i PE=2 SV=1 - [EIF3I_RAT],0.004940741,-0.093365906,0.054623252,0.268290131,-0.036836768,0.123860129,7
Q5M7U6,Actin-related protein 2 OS=Rattus norvegicus GN=Actr2 PE=2 SV=1 - [ARP2_RAT],-0.050360961,-0.219829907,-0.196372536,0.203210049,0.035009644,0.122187439,6
P0C089,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Rattus norvegicus GN=Ptpmt1 PE=2 SV=1 - [PTPM1_RAT],-0.0606476,0.01720929,0.038567656,0.087394012,-0.230028632,0.121350366,5
P49185,Mitogen-activated protein kinase 8 OS=Rattus norvegicus GN=Mapk8 PE=1 SV=1 - [MK08_RAT],-0.023702397,0.109249107,0.187453654,0.026663664,0.15125684,0.120512807,37
Q63028-2,Isoform 2 of Alpha-adducin OS=Rattus norvegicus GN=Add1 - [ADDA_RAT],0.298477236,0.257412987,0.180154134,-0.149016012,0.12156198,0.117157701,3
Q63692,Hsp90 co-chaperone Cdc37 OS=Rattus norvegicus GN=Cdc37 PE=1 SV=2 - [CDC37_RAT],-0.114549539,0.139251186,0.124741013,-0.235911357,0.357483766,0.115477217,6
Q03626,Murinoglobulin-1 OS=Rattus norvegicus GN=Mug1 PE=2 SV=1 - [MUG1_RAT],0.200665212,0.063963059,0.031631609,0.220887262,-0.249852235,0.114636241,4
P51886,Lumican OS=Rattus norvegicus GN=Lum PE=1 SV=1 - [LUM_RAT],0.09573628,-0.609699179,0.014144182,0.181707454,-0.560458519,0.114636241,8
P63159,High mobility group protein B1 OS=Rattus norvegicus GN=Hmgb1 PE=1 SV=2 - [HMGB1_RAT],-0.037604954,0.234705683,0.02815104,0.103275044,0.182819648,0.113794774,6
P04644,40S ribosomal protein S17 OS=Rattus norvegicus GN=Rps17 PE=1 SV=3 - [RS17_RAT],0.022101292,-0.354759487,-0.195015982,0.161972657,-0.16480493,0.112952816,5
Q6I7R3,Isochorismatase domain-containing protein 1 OS=Rattus norvegicus GN=Isoc1 PE=1 SV=1 - [ISOC1_RAT],0.082943253,0.198284597,0.090664346,0.366853966,0.09474049,0.112110366,4
Q9QVC8,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Rattus norvegicus GN=Fkbp4 PE=1 SV=3 - [FKBP4_RAT],0.096893677,0.090401812,0.075007037,0.164062762,-0.032061209,0.11042399,2
P52925,High mobility group protein B2 OS=Rattus norvegicus GN=Hmgb2 PE=2 SV=2 - [HMGB2_RAT],NA,NA,NA,-0.134172675,-0.067780475,0.107045311,2
P97584,Prostaglandin reductase 1 OS=Rattus norvegicus GN=Ptgr1 PE=2 SV=3 - [PTGR1_RAT],0.311497133,0.293174266,0.062584537,0.035252865,0.537242248,0.106199404,6
Q63413,Spliceosome RNA helicase Ddx39b OS=Rattus norvegicus GN=Ddx39b PE=2 SV=3 - [DX39B_RAT],-0.00495772,0.118138199,0.121478226,-0.031344884,0.321368441,0.1045061,2
P18266,Glycogen synthase kinase-3 beta OS=Rattus norvegicus GN=Gsk3b PE=1 SV=1 - [GSK3B_RAT],-0.032533964,-0.348622962,0.037413962,-0.373139321,-0.212633455,0.1045061,10
B0K020,CDGSH iron-sulfur domain-containing protein 1 OS=Rattus norvegicus GN=Cisd1 PE=3 SV=1 - [CISD1_RAT],-0.00247673,0.004800986,0,0.110337772,-0.052225661,0.101962411,7
Q9HB97,Alpha-parvin OS=Rattus norvegicus GN=Parva PE=1 SV=2 - [PARVA_RAT],-0.174727534,-0.260727938,-0.147010609,0.222392421,-0.082517019,0.101962411,7
Q4V7A8,Protein ABHD18 OS=Rattus norvegicus GN=Abhd18 PE=2 SV=2 - [ABD18_RAT],-0.074912566,-0.265344567,-0.059239203,-0.06644574,-0.18480613,0.101962411,21
Q5U2X7,Mitochondrial import inner membrane translocase subunit Tim21 OS=Rattus norvegicus GN=Timm21 PE=2 SV=1 - [TIM21_RAT],NA,NA,NA,0.248727865,-0.192245458,0.101962411,3
P97608,5-oxoprolinase OS=Rattus norvegicus GN=Oplah PE=1 SV=2 - [OPLA_RAT],-0.013674937,0.103889243,0.085091937,-0.031344884,-0.22784273,0.101113517,4
O35763,Moesin OS=Rattus norvegicus GN=Msn PE=1 SV=3 - [MOES_RAT],0.141322854,0.11725175,-0.170813634,0.238350497,0.209680191,0.100264123,10
B2RYT9,Translational activator of cytochrome c oxidase 1 OS=Rattus norvegicus GN=Taco1 PE=2 SV=1 - [TACO1_RAT],0.070035769,0.059355278,-0.07912162,0.034681839,0.199970485,0.100264123,8
P38656,Lupus La protein homolog OS=Rattus norvegicus GN=Ssb PE=1 SV=1 - [LA_RAT],-0.065818556,-0.447458977,-0.075372735,0.34260642,-0.437910546,0.098563834,2
P39052-3,Isoform 3 of Dynamin-2 OS=Rattus norvegicus GN=Dnm2 - [DYN2_RAT],0.002472486,0.16263973,0.033947332,0.09289,-0.032061209,0.096861539,8
Q66H98,Serum deprivation-response protein OS=Rattus norvegicus GN=Sdpr PE=1 SV=3 - [SDPR_RAT],-0.197248109,0.231432408,0.292733402,-0.096154796,0.265053573,0.096009638,25
P14056,Serine/threonine-protein kinase A-Raf OS=Rattus norvegicus GN=Araf PE=1 SV=1 - [ARAF_RAT],-0.009932535,-0.064917477,-0.02992009,0.148840443,0.034099139,0.096009638,9
Q6PCT3,Tumor protein D54 OS=Rattus norvegicus GN=Tpd52l2 PE=1 SV=1 - [TPD54_RAT],-0.141592412,0.143611102,0.02815104,0.16354052,0.004655361,0.096009638,4
Q4V8F9,Hydroxysteroid dehydrogenase-like protein 2 OS=Rattus norvegicus GN=Hsdl2 PE=2 SV=1 - [HSDL2_RAT],-0.04269383,-0.195395689,-0.058005603,-0.085562731,-0.377299784,0.095157233,13
P62278,40S ribosomal protein S13 OS=Rattus norvegicus GN=Rps13 PE=1 SV=2 - [RS13_RAT],0.014771751,0.374807654,0.088437965,-0.101794002,0.261168047,0.094304324,3
P15800,Laminin subunit beta-2 OS=Rattus norvegicus GN=Lamb2 PE=2 SV=1 - [LAMB2_RAT],0.106119576,0.090401812,0.102848408,-0.004687884,-0.093420297,0.094304324,5
P04639,Apolipoprotein A-I OS=Rattus norvegicus GN=Apoa1 PE=1 SV=2 - [APOA1_RAT],0.110710495,-0.070966521,0.036259344,0.062399633,0.060273242,0.092596993,10
Q7TT49,Serine/threonine-protein kinase MRCK beta OS=Rattus norvegicus GN=Cdc42bpb PE=1 SV=1 - [MRCKB_RAT],-0.003716692,-0.090290889,-0.04206406,0.038674277,-0.04354922,0.092596993,9
P80386,5'-AMP-activated protein kinase subunit beta-1 OS=Rattus norvegicus GN=Prkab1 PE=1 SV=4 - [AAKB1_RAT],0.071213961,0.30723421,0.09399749,-0.424036033,0.1436792,0.091742569,5
Q63448,Peroxisomal acyl-coenzyme A oxidase 3 OS=Rattus norvegicus GN=Acox3 PE=1 SV=1 - [ACOX3_RAT],-0.054209861,-0.039982617,0.011796427,-0.161394144,0.265053573,0.090887638,4
Q920P0,L-xylulose reductase OS=Rattus norvegicus GN=Dcxr PE=1 SV=1 - [DCXR_RAT],NA,NA,NA,0.082982097,-0.030155403,0.090032201,3
P02091,Hemoglobin subunit beta-1 OS=Rattus norvegicus GN=Hbb PE=1 SV=3 - [HBB1_RAT],0.23786383,0.194927539,0.076131069,0.005838515,-0.023504838,0.089176256,8
Q6AYT5,Protein-glutamate O-methyltransferase OS=Rattus norvegicus GN=Armt1 PE=1 SV=1 - [ARMT1_RAT],0.243100478,0.513322295,0.226447786,0.170314972,0.252582874,0.088319803,3
Q7TNY6,Golgi resident protein GCP60 OS=Rattus norvegicus GN=Acbd3 PE=1 SV=3 - [GCP60_RAT],0.007404781,-0.327951883,-0.271587959,0.160403088,-0.153350777,0.088319803,2
Q6P9U8,Eukaryotic translation initiation factor 3 subunit H OS=Rattus norvegicus GN=Eif3h PE=1 SV=1 - [EIF3H_RAT],-0.171937021,0.023846742,-0.423749931,-0.256031018,0.182819648,0.087462841,6
Q6AXS5,Plasminogen activator inhibitor 1 RNA-binding protein OS=Rattus norvegicus GN=Serbp1 PE=1 SV=2 - [PAIRB_RAT],0.172397487,-0.054891758,-0.062946345,-0.04455867,0.140298542,0.087462841,4
Q923V4,F-box only protein 6 OS=Rattus norvegicus GN=Fbxo6 PE=1 SV=1 - [FBX6_RAT],0.086443526,-0.23786383,-0.113307306,0.071892918,0.048598708,0.084029895,4
Q505J8,Phenylalanine--tRNA ligase alpha subunit OS=Rattus norvegicus GN=Farsa PE=1 SV=1 - [SYFA_RAT],0.028180927,-0.0489096,-0.216875416,0.018023022,0.369083386,0.08317038,4
Q9JHW0,Proteasome subunit beta type-7 OS=Rattus norvegicus GN=Psmb7 PE=1 SV=1 - [PSB7_RAT],0.106119576,0.12256229,0.171766348,0.021485491,0.062060968,0.08317038,7
P27605,Hypoxanthine-guanine phosphoribosyltransferase OS=Rattus norvegicus GN=Hprt1 PE=1 SV=1 - [HPRT_RAT],0.002472486,-0.040971781,-0.026296744,-0.004687884,0.250232569,0.081449814,6
P97633,Casein kinase I isoform alpha OS=Rattus norvegicus GN=Csnk1a1 PE=2 SV=1 - [KC1A_RAT],-0.085376402,-0.59219407,-0.160185998,-0.113771875,0.197532813,0.081449814,2
Q6AYT3,tRNA-splicing ligase RtcB homolog OS=Rattus norvegicus GN=Rtcb PE=2 SV=1 - [RTCB_RAT],-0.088004263,0.161780215,0.0489096,0.148840443,0.44503224,0.08058876,5
Q5XIH7,Prohibitin-2 OS=Rattus norvegicus GN=Phb2 PE=1 SV=1 - [PHB2_RAT],0.151384309,0.488857733,0.124741013,-0.094279948,0.238423267,0.079727192,6
Q63507,60S ribosomal protein L14 OS=Rattus norvegicus GN=Rpl14 PE=1 SV=3 - [RL14_RAT],-0.043968859,-0.13606155,0.044322331,-0.177844665,0.316883375,0.077139398,4
Q5XI73,Rho GDP-dissociation inhibitor 1 OS=Rattus norvegicus GN=Arhgdia PE=1 SV=1 - [GDIR1_RAT],-0.033800041,-0.267658432,-0.144389909,0.21686581,-0.282374526,0.076275767,7
Q9QY17-3,Isoform 3 of Protein kinase C and casein kinase substrate in neurons 2 protein OS=Rattus norvegicus GN=Pacsin2 - [PACN2_RAT],0.03544283,0.147089573,0.25452057,0.313243498,0.291963134,0.075411619,7
Q63862-3,Isoform 3 of Myosin-11 OS=Rattus norvegicus GN=Myh11 - [MYH11_RAT],-0.184537058,-0.011587974,-0.109468647,-0.148367464,0.01668946,0.075411619,4
Q8R491,EH domain-containing protein 3 OS=Rattus norvegicus GN=Ehd3 PE=1 SV=2 - [EHD3_RAT],-0.103872746,-0.124482031,0.096215315,0.231390548,-0.390686337,0.075411619,2
Q91XU1,Protein quaking OS=Rattus norvegicus GN=Qki PE=1 SV=2 - [QKI_RAT],0.158053174,0.051024003,0.125826971,0.097271765,0.044083227,0.074546953,32
P10960,Prosaposin OS=Rattus norvegicus GN=Psap PE=1 SV=1 - [SAP_RAT],0.051052666,-0.074000581,-0.039627074,0.043223576,-0.0140569,0.073681769,15
Q6NYB7,Ras-related protein Rab-1A OS=Rattus norvegicus GN=Rab1A PE=1 SV=3 - [RAB1A_RAT],0.388187174,0.266236838,0.573864792,0.146728151,-0.189052476,0.071949842,3
P52296,Importin subunit beta-1 OS=Rattus norvegicus GN=Kpnb1 PE=1 SV=1 - [IMB1_RAT],-0.327817287,-0.273459385,-0.326970932,-0.086183646,0.195091015,0.071083098,2
Q63678,Zinc-alpha-2-glycoprotein OS=Rattus norvegicus GN=Azgp1 PE=2 SV=1 - [ZA2G_RAT],0.066495412,0.186500558,0.178061755,0.024364548,-0.204013892,0.071083098,4
P61314,60S ribosomal protein L15 OS=Rattus norvegicus GN=Rpl15 PE=1 SV=2 - [RL15_RAT],0.026967048,-0.190997225,-0.037194198,-0.199178806,0.341380458,0.070215833,5
O35509,Ras-related protein Rab-11B OS=Rattus norvegicus GN=Rab11b PE=1 SV=4 - [RB11B_RAT],0.031816447,0.562344198,0.179108324,0.320289068,0.142834778,0.070215833,3
P62959,Histidine triad nucleotide-binding protein 1 OS=Rattus norvegicus GN=Hint1 PE=1 SV=5 - [HINT1_RAT],-0.017427072,0.272620455,0.418586566,-0.260929818,0.535313081,0.069348047,4
P20762,Ig gamma-2C chain C region OS=Rattus norvegicus PE=2 SV=1 - [IGG2C_RAT],0.123260708,0.083156624,0.075007037,0.066316201,0.122418942,0.068479738,42
Q6AY30,Saccharopine dehydrogenase-like oxidoreductase OS=Rattus norvegicus GN=Sccpdh PE=1 SV=1 - [SCPDL_RAT],0.018441176,-0.038006323,0.025825987,0.031823318,-0.059982105,0.067610906,2
P02650,Apolipoprotein E OS=Rattus norvegicus GN=Apoe PE=1 SV=2 - [APOE_RAT],0.053439259,0.042644337,0.055763272,0.006421069,-0.057068549,0.065001267,12
O35244,Peroxiredoxin-6 OS=Rattus norvegicus GN=Prdx6 PE=1 SV=3 - [PRDX6_RAT],-0.147062352,-0.384583703,-0.060473859,0.156734107,-0.398040788,0.065001267,2
Q4FZT9,26S proteasome non-ATPase regulatory subunit 2 OS=Rattus norvegicus GN=Psmd2 PE=1 SV=1 - [PSMD2_RAT],-0.221567789,-0.424042313,-0.114589132,-0.305061079,0.508685948,0.062386899,2
P67874,Casein kinase II subunit beta OS=Rattus norvegicus GN=Csnk2b PE=1 SV=1 - [CSK2B_RAT],-0.117231129,-0.235597223,-0.131357345,-0.029552345,-0.01688479,0.061514389,5
Q6RJR6-2,Isoform 2 of Reticulon-3 OS=Rattus norvegicus GN=Rtn3 - [RTN3_RAT],NA,NA,NA,0.070779298,0.079817439,0.060641351,2
P24090,Alpha-2-HS-glycoprotein OS=Rattus norvegicus GN=Ahsg PE=1 SV=2 - [FETUA_RAT],-0.022445147,0.037030731,0,0.151476466,0.024962344,0.057143907,14
Q68A21,Transcriptional activator protein Pur-beta OS=Rattus norvegicus GN=Purb PE=1 SV=3 - [PURB_RAT],-0.08275332,-0.043943348,-0.027503515,-0.177844665,0.201593314,0.055392,3
Q9WUH4,Four and a half LIM domains protein 1 OS=Rattus norvegicus GN=Fhl1 PE=2 SV=1 - [FHL1_RAT],0.26694722,0.225686247,0.107253587,0.229395809,0.202404044,0.054515249,5
O08815,STE20-like serine/threonine-protein kinase OS=Rattus norvegicus GN=Slk PE=1 SV=1 - [SLK_RAT],-0.016175276,0.183962835,0.04776415,0.361399536,-0.250961574,0.053637964,4
P47197,RAC-beta serine/threonine-protein kinase OS=Rattus norvegicus GN=Akt2 PE=1 SV=1 - [AKT2_RAT],0.150269829,0.229792982,0.029312163,0.116826666,-0.329642435,0.053637964,5
P37397,Calponin-3 OS=Rattus norvegicus GN=Cnn3 PE=1 SV=1 - [CNN3_RAT],0.187687358,0.242043509,0.150581018,0.228896693,0.163798458,0.052760145,11
P0C0R5,Phosphoinositide 3-kinase regulatory subunit 4 OS=Rattus norvegicus GN=Pik3r4 PE=3 SV=2 - [PI3R4_RAT],-0.102543685,0.056583528,-0.040845052,0.010492374,0.136909944,0.052760145,7
A7VJC2-4,Isoform B1b of Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus GN=Hnrnpa2b1 - [ROA2_RAT],-0.103872746,0.023846742,0.16121257,-0.162703305,0.078934787,0.051881792,3
O88377,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Rattus norvegicus GN=Pip4k2b PE=1 SV=1 - [PI42B_RAT],0.116428675,0.209973162,0.158031323,0.096724771,-0.173192715,0.051002903,4
Q63525,Nuclear migration protein nudC OS=Rattus norvegicus GN=Nudc PE=1 SV=1 - [NUDC_RAT],0.062946345,0.209141398,0.154843045,0.114126506,-0.292618558,0.050123479,5
P05371,Clusterin OS=Rattus norvegicus GN=Clu PE=1 SV=2 - [CLUS_RAT],0.132320048,-0.016443903,-0.156220732,0.252661596,0.002795019,0.049243519,6
P02680-2,Isoform Gamma-A of Fibrinogen gamma chain OS=Rattus norvegicus GN=Fgg - [FIBG_RAT],-0.174727534,-0.081104968,-0.02992009,-0.160740009,-0.24542339,0.047481986,10
Q641Z6,EH domain-containing protein 1 OS=Rattus norvegicus GN=Ehd1 PE=1 SV=1 - [EHD1_RAT],0.184424571,0.154885602,0.194716428,0.247249946,-0.341409996,0.047481986,4
P09414,Nuclear factor 1 A-type OS=Rattus norvegicus GN=Nfia PE=1 SV=2 - [NFIA_RAT],-0.061938603,0.136628898,0.073882129,-0.12457387,0.126696131,0.0457183,2
P11661,NADH-ubiquinone oxidoreductase chain 5 OS=Rattus norvegicus GN=Mtnd5 PE=3 SV=3 - [NU5M_RAT],0,0.270229907,0.131244533,-0.161394144,0.08598093,0.0457183,5
Q62826,Heterogeneous nuclear ribonucleoprotein M OS=Rattus norvegicus GN=Hnrnpm PE=1 SV=4 - [HNRPM_RAT],-0.076216403,-0.180059379,-0.192306695,0.123823522,-0.399270183,0.044835648,2
P27952,40S ribosomal protein S2 OS=Rattus norvegicus GN=Rps2 PE=1 SV=1 - [RS2_RAT],-0.185943879,0.149692933,-0.013088457,0.110879629,-0.182687635,0.043068722,4
Q63258-3,Isoform Alpha-7X1C of Integrin alpha-7 OS=Rattus norvegicus GN=Itga7 - [ITA7_RAT],-0.073609907,-0.375821103,-0.094215342,-0.147719207,-0.407905408,0.041299629,18
Q8VIF7,Selenium-binding protein 1 OS=Rattus norvegicus GN=Selenbp1 PE=1 SV=1 - [SBP1_RAT],-0.16498426,0.537378907,0.406126445,0.084086341,-0.2846447,0.040414268,2
Q5I0G4,Glycine--tRNA ligase (Fragment) OS=Rattus norvegicus GN=Gars PE=1 SV=1 - [SYG_RAT],0.024536221,0.022900402,0.025825987,0.050020738,-0.122566642,0.039528364,6
Q6U6G5,Zinc finger CCCH domain-containing protein 15 OS=Rattus norvegicus GN=Zc3h15 PE=1 SV=1 - [ZC3HF_RAT],0.154722595,0.525400743,0.248550789,-0.223562965,0.409665197,0.035979297,7
